Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
KG&L Capital Management LLC,"69,864",0.00,10.0,"(8,676)",(11.05),12/31/22,13F,Low       ,31.08,Active    ,151.05,Saint Francisville,LA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Triagen Wealth Management LLC,"69,829",0.00,10.0,475,0.69,9/30/22,13F,,,Active    ,116.93,Calabasas,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Financial Enhancement Group LLC,"69,801",0.00,10.0,"(4,393)",(5.92),9/30/22,13F,Moderate  ,79.66,Active    ,93.79,Anderson,IN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Gables Capital Management Inc.,"69,776",0.00,10.0,(415),(0.59),9/30/22,13F,Very Low  ,5.15,Active    ,127.70,Miami,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Arbor Investment Advisors LLC,"69,695",0.00,10.0,"52,236",299.19,12/31/22,13F,Very Low  ,8.27,Active    ,46.14,Winston Salem,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Bradley & Co. Pvt. Wealth Management LLC,"69,654",0.00,10.0,"3,365",5.08,9/30/22,13F,,,Active    ,74.33,Miami,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Baystate Wealth Management LLC,"69,634",0.00,10.0,"(4,897)",(6.57),12/31/22,13F,Low       ,22.04,Active    ,114.97,Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Paradigm Financial Partners LLC,"69,576",0.00,9.9,"2,200",3.27,12/31/22,13F,Low       ,26.56,Active    ,308.74,Westport,CT,USA,Blend,Large Cap ,Family Offices/Trusts,,
Keebeck Partners LLC,"69,551",0.00,9.9,"3,063",4.61,9/30/22,13F,Low       ,20.70,Active    ,179.10,Chicago,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
RPg Family Wealth Advisory LLC,"69,530",0.00,9.9,(142),(0.20),9/30/22,13F,,,Active    ,102.43,Burlington,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
"Keudell Morrison Wealth Management, LLC","69,476",0.00,9.9,"(1,189)",(1.68),12/31/22,13F,Low       ,45.62,Active    ,135.81,Salem,OR,USA,Growth,Large Cap ,Traditional Investment Managers,,
Carmel Capital Management L.L.C.,"69,369",0.00,9.9,"(12,760)",(15.54),12/31/22,13F,,,Active    ,156.36,Carmel,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
All Terrain Financial Advisors LLC,"69,216",0.00,9.9,66,0.10,9/30/22,13F,Very Low  ,18.58,Active    ,101.67,Coon Rapids,MN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fortitude Advisory Group LLC,"69,212",0.00,9.9,"1,623",2.40,9/30/22,13F,,,Active    ,80.80,Gig Harbor,WA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Labrum Wealth Management LLC,"69,145",0.00,9.9,(538),(0.77),12/31/22,13F,Moderate  ,65.28,Active    ,25.89,Carlsbad,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Stolper Co. L.L.C.,"69,122",0.00,9.9,"2,697",4.06,12/31/22,13F,Very Low  ,11.73,Active    ,227.33,Tulsa,OK,USA,GARP,Large Cap ,Traditional Investment Managers,,
Loomis Sayles & Co. L.P.,"69,022",0.00,9.9,"(111,858)",(61.84),9/30/22,13F,Very Low  ,15.20,Active    ,"59,332.67",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,16,
Consilium Wealth Advisory LLC,"68,976",0.00,9.9,"1,600",2.38,9/30/22,13F,,,Active    ,61.08,Richardson,TX,USA,Blend,Large Cap ,Family Offices/Trusts,,
Somerset Trust Holding Co.,"68,806",0.00,9.8,(228),(0.33),12/31/22,13F,Very Low  ,5.73,Active    ,230.65,Somerset,PA,USA,Blend,Large Cap ,Banks/Investment Banks,,
Centric Wealth Management LLC,"68,627",0.00,9.8,"(9,432)",(12.08),12/31/22,13F,Low       ,44.59,Active    ,172.50,Bannockburn,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Kaizen Financial Strategies LLC,"68,391",0.00,9.8,(489),(0.71),12/31/22,13F,,,Active    ,51.35,Campbell,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Dunham & Associates Investment Counsel Inc.,"68,373",0.00,9.8,"6,400",10.33,10/31/22,Aggregated Mutual Funds,Very Low  ,15.47,Active    ,183.47,San Diego,CA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Enterprise Bank and Trust Co.,"68,217",0.00,9.8,"2,220",3.36,12/31/22,13F,Very Low  ,14.57,Active    ,135.92,Lowell,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Strategic Wealth Partners Ltd.,"68,140",0.00,9.7,0,,6/30/22,13F,Low       ,48.90,Active    ,309.61,Independence,OH,USA,Blend,Large Cap ,Family Offices/Trusts,,
Morse Asset Management Inc.,"68,109",0.00,9.7,"(1,077)",(1.56),9/30/22,13F,Low       ,40.29,Active    ,294.64,Darien,CT,USA,Growth,Large Cap ,Traditional Investment Managers,,
Commerce Bank and Trust Holding Co.,"68,047",0.00,9.7,"(1,663)",(2.39),9/30/22,13F,,,Active    ,125.00,Topeka,KS,USA,Blend,Large Cap ,Banks/Investment Banks,,
Allegheny Financial Group Ltd,"67,799",0.00,9.7,461,0.69,9/30/22,13F,,,Active    ,173.61,Pittsburgh,PA,USA,Blend,Large Cap ,Hedge Fund Managers (<5% stake),,
Graybill Wealth Management Ltd.,"67,771",0.00,9.7,602,0.90,12/31/22,13F,Very Low  ,13.21,Active    ,161.74,Elmhurst,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Darwin Wealth Management LLC,"67,771",0.00,9.7,"(4,227)",(5.87),12/31/22,13F,Moderate  ,52.80,Active    ,85.48,Largo,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Hexagon Capital Partners LLC,"67,704",0.00,9.7,(571),(0.84),12/31/22,13F,Very Low  ,13.57,Active    ,305.89,Rogers,AR,USA,Blend,Large Cap ,Family Offices/Trusts,,
Bridge Creek Capital Management LLC,"67,700",0.00,9.7,(516),(0.76),12/31/22,13F,Very Low  ,9.36,Active    ,262.65,West Barnstable,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
IRON Holdings LLC,"67,618",0.00,9.7,"(1,440)",(2.09),9/30/22,13F,Low       ,32.03,Active    ,50.57,Northbrook,IL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Orion Capital Management LLC,"67,582",0.00,9.7,"(1,224)",(1.78),12/31/22,13F,Very Low  ,17.22,,73.45,Coronado,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Riverbridge Partners LLC,"67,488",0.00,9.7,"1,563",2.37,12/31/22,13F,Very Low  ,19.88,Active    ,"7,225.58",Minneapolis,MN,USA,Growth,Multi Cap ,Traditional Investment Managers,,
Wealth Dimensions Group Ltd.,"67,474",0.00,9.6,27,0.04,9/30/22,13F,,,Active    ,77.88,Cincinnati,OH,USA,Growth,Large Cap ,Family Offices/Trusts,,
FCF Advisors LLC,"67,408",0.00,9.6,"1,868",2.85,9/30/22,13F,Moderate  ,64.12,Active    ,194.95,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Port Capital LLC,"67,377",0.00,9.6,523,0.78,9/30/22,13F,Very Low  ,12.97,Active    ,"1,418.14",Chicago,IL,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Bray Capital Advisors LLC,"67,377",0.00,9.6,(569),(0.84),12/31/22,13F,Very Low  ,12.53,Active    ,169.78,Naples,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
M. Kulyk & Associates LLC,"67,250",0.00,9.6,(499),(0.74),9/30/22,13F,,,Active    ,282.24,Decatur,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Delta Investment Management LLC,"67,171",0.00,9.6,64,0.10,12/31/22,13F,Moderate  ,71.77,Active    ,148.61,San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Chronos Wealth Management LLC,"66,998",0.00,9.6,(213),(0.32),12/31/22,13F,Very Low  ,5.69,Active    ,128.31,Clearwater,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Crewe Advisors LLC,"66,930",0.00,9.6,"26,106",63.95,9/30/22,13F,Very Low  ,17.78,Active    ,297.98,Salt Lake City,UT,USA,Growth,Large Cap ,Traditional Investment Managers,,
Harbor Advisory Corp.,"66,825",0.00,9.6,"(2,615)",(3.77),9/30/22,13F,Very Low  ,16.49,Active    ,118.53,Portsmouth,NH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Baxter Brothers Inc.,"66,780",0.00,9.5,"(1,667)",(2.44),9/30/22,13F,Very Low  ,6.92,Active    ,638.71,Riverside,CT,USA,Growth,Large Cap ,Traditional Investment Managers,,
Bay Rivers Group Inc.,"66,734",0.00,9.5,84,0.13,12/31/22,13F,Very Low  ,16.30,Active    ,58.94,Williamsburg,VA,USA,Growth,Large Cap ,Traditional Investment Managers,,
RMR Wealth Builders Inc.,"66,727",0.00,9.5,"4,406",7.07,9/30/22,13F,Low       ,34.49,Active    ,120.80,Teaneck,NJ,USA,Growth,Large Cap ,Family Offices/Trusts,,
Greystone Financial Group LLC,"66,709",0.00,9.5,394,0.59,12/31/22,13F,Moderate  ,86.07,Active    ,257.01,Bloomfield Hills,MI,USA,Value,Large Cap ,Family Offices/Trusts,,
Spring Capital Management LLC,"66,708",0.00,9.5,(995),(1.47),12/31/22,13F,,,Active    ,113.69,Amarillo,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Iyogin HoldingsInc.,"66,690",0.00,9.5,0,,12/31/22,13F,,,Active    ,164.17,Matsuyama,,Japan,Growth,Large Cap ,Traditional Investment Managers,,
Investment Management of Virginia LLC,"66,554",0.00,9.5,(348),(0.52),12/31/22,13F,Low       ,23.14,Active    ,438.68,Richmond,VA,USA,Growth,Large Cap ,Traditional Investment Managers,,
St. Johns Investment Management Co,"66,486",0.00,9.5,"1,227",1.88,9/30/22,13F,Very Low  ,9.56,Active    ,86.09,Jacksonville,FL,USA,Blend,Large Cap ,Traditional Investment Managers,,
St. Denis J. Villere & Co. LLC,"66,479",0.00,9.5,"13,416",25.28,12/31/22,13F,Very Low  ,19.62,Active    ,"1,355.80",New Orleans,LA,USA,Growth,Large Cap ,Traditional Investment Managers,,
First Mercantile Trust Co.,"66,307",0.00,9.5,"(4,414)",(6.24),9/30/22,13F,Low       ,36.42,Active    ,340.03,Cordova,TN,USA,Growth,Large Cap ,Banks/Investment Banks,,
Bank of Singapore Ltd.,"66,147",0.00,9.5,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,16.15,Active    ,"1,028.58",Singapore,,Singapore,Blend,Large Cap ,Traditional Investment Managers,4,
Independence Bank of Kentucky,"66,143",0.00,9.5,"1,333",2.06,12/31/22,13F,Very Low  ,15.58,Active    ,144.72,Owensboro,KY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Point72 Asset Management LP,"66,136",0.00,9.5,"(45,624)",(40.82),9/30/22,13F,High      ,122.75,Active    ,"42,997.21",Stamford,CT,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Willow Creek Wealth Management Inc.,"66,105",0.00,9.5,"(105,772)",(61.54),9/30/22,13F,Very Low  ,13.98,Passive   ,78.06,Sebastopol,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Pflug Koory LLC,"66,101",0.00,9.5,(883),(1.32),12/31/22,13F,Very Low  ,7.38,Active    ,159.21,Omaha,NE,USA,Blend,Large Cap ,Traditional Investment Managers,,
Wimmer Associates I LLC,"66,059",0.00,9.4,(783),(1.17),9/30/22,13F,Very Low  ,8.65,Active    ,124.93,Pasadena,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Financial Management Network Inc.,"66,053",0.00,9.4,736,1.13,9/30/22,13F,,,Active    ,67.78,Mission Viejo,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Stiles Financial Services Inc.,"66,036",0.00,9.4,"(7,384)",(10.06),12/31/22,13F,,,Active    ,173.08,Edina,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Xcel Wealth Management LLC,"66,014",0.00,9.4,"1,721",2.68,12/31/22,13F,Low       ,22.60,Active    ,258.03,Holly Hill,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
LLB Fund Services AG,"66,000",0.00,9.4,0,,3/31/22,Aggregated Mutual Funds,Low       ,48.28,Active    ,191.67,Vaduz,,Liechtenstein,Growth,Large Cap ,Traditional Investment Managers,1,
Bruce & Co Inc,"66,000",0.00,9.4,"(71,400)",(51.97),9/30/22,13F,Very Low  ,7.81,Active    ,382.60,Chicago,IL,USA,GARP,Large Cap ,Traditional Investment Managers,1,
Applied Finance Advisors LLC,"65,909",0.00,9.4,0,,10/31/22,Aggregated Mutual Funds,Low       ,20.73,Active    ,679.26,San Antonio,TX,USA,GARP,Large Cap ,Traditional Investment Managers,1,
Symphony Financial Ltd. Co.,"65,903",0.00,9.4,"7,623",13.08,12/31/22,13F,Moderate  ,50.09,Active    ,174.62,Houston,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Charter Oak Capital Management LLC,"65,878",0.00,9.4,719,1.10,12/31/22,13F,Very Low  ,11.42,Active    ,48.55,Portsmouth,NH,USA,Growth,Large Cap ,Family Offices/Trusts,,
Reynolds Investment Management Inc,"65,812",0.00,9.4,0,,6/30/22,13F,,,Active    ,123.61,Greenville,SC,USA,Blend,Large Cap ,Traditional Investment Managers,,
Fidelis Capital Partners LLC,"65,770",0.00,9.4,"65,770",,12/31/22,13F,,,,64.78,Tampa,FL,USA,Growth,Large Cap ,VC/PE Firms (<5% stake),,
"Platte River Wealth Advisors, LLC","65,765",0.00,9.4,"(1,165)",(1.74),12/31/22,13F,Very Low  ,15.38,Active    ,70.09,Louisville,CO,USA,Growth,Large Cap ,Family Offices/Trusts,,
Martin & Co. Inc.,"65,649",0.00,9.4,662,1.02,9/30/22,13F,Very Low  ,4.81,Active    ,245.92,Knoxville,TN,USA,Blend,Large Cap ,Traditional Investment Managers,,
Shulman DeMeo Asset Management LLC,"65,616",0.00,9.4,(40),(0.06),12/31/22,13F,Low       ,30.92,Active    ,66.33,Lake Success,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Orleans Capital Management Corp.,"65,548",0.00,9.4,"(3,985)",(5.73),9/30/22,13F,Very Low  ,15.46,Active    ,108.20,Mandeville,LA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Landmark Wealth Management LLC,"65,514",0.00,9.4,(19),(0.03),12/31/22,Aggregated 13F,,,Active    ,20.71,Melville,NY,USA,Blend,Large Cap ,Family Offices/Trusts,,
Destiny Wealth Partners LLC,"65,509",0.00,9.4,"(1,752)",(2.61),12/31/22,13F,Moderate  ,62.57,Active    ,96.95,Tavares,FL,USA,Blend,Large Cap ,Family Offices/Trusts,,
Flynn Zito Capital Management LLC,"65,435",0.00,9.4,(50),(0.08),12/31/22,13F,,,Active    ,30.51,Garden City,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Greenfield Savings Bank,"65,412",0.00,9.4,"(1,674)",(2.50),12/31/22,13F,,,,134.63,Greenfield,MA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Montgomery Investment Management Inc.,"65,370",0.00,9.3,670,1.04,9/30/22,13F,Very Low  ,1.87,Active    ,295.70,Rockville,MD,USA,GARP,Large Cap ,Traditional Investment Managers,,
Allied Asset Advisors Inc,"65,370",0.00,9.3,"24,055",58.22,11/30/22,Aggregated Mutual Funds,High      ,102.07,Active    ,136.83,Oak Brook,IL,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Chapman Investment Management LLC,"65,362",0.00,9.3,250,0.38,9/30/22,13F,Very Low  ,14.63,Active    ,150.59,San Anselmo,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Royal Fund Management LLC,"65,343",0.00,9.3,"7,120",12.23,12/31/22,13F,Low       ,31.04,Active    ,297.91,The Villages,FL,USA,Blend,Large Cap ,Traditional Investment Managers,,
NATIONAL-BANK AG,"65,342",0.00,9.3,"5,702",9.56,12/31/22,Aggregated Mutual Funds,Moderate  ,62.68,Active    ,351.51,Essen,,Germany,Growth,Large Cap ,Traditional Investment Managers,1,
Hixon Zuercher LLC,"65,324",0.00,9.3,"(10,210)",(13.52),12/31/22,13F,Very Low  ,11.75,Active    ,152.65,Findlay,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
"Lavaca Capital, LLC","65,268",0.00,9.3,"2,151",3.41,9/30/22,13F,Low       ,41.74,Active    ,185.41,Houston,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Peilim – Portfolio Management Co.Ltd.,"65,238",0.00,9.3,"(6,224)",(8.71),12/31/22,13F,Low       ,31.48,Active    ,242.05,Ramat Gan,,Israel,Growth,Large Cap ,Traditional Investment Managers,,
Beech Hill Advisors Inc.,"65,174",0.00,9.3,"(1,191)",(1.80),12/31/22,13F,Low       ,24.14,Active    ,191.18,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,1,
High Net Worth Advisory Group LLC,"65,128",0.00,9.3,"(9,393)",(12.61),9/30/22,13F,,,Active    ,133.08,Naples,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Wescott Financial Advisory Group LLC,"64,952",0.00,9.3,"(6,198)",(8.71),9/30/22,13F,,,Active    ,46.37,Philadelphia,PA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Atticus Wealth Management LLC,"64,910",0.00,9.3,0,,9/30/22,13F,Low       ,29.29,Active    ,73.59,Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sawyer & Co. Inc.,"64,892",0.00,9.3,"(1,036)",(1.57),12/31/22,13F,Very Low  ,6.61,Active    ,206.63,Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Peoples Financial Services Corp.,"64,870",0.00,9.3,(919),(1.40),12/31/22,13F,Very Low  ,7.26,Active    ,199.52,Scranton,PA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Towercrest Capital Management LLC,"64,781",0.00,9.3,3,0.01,9/30/22,13F,Very Low  ,7.26,Active    ,28.21,Newtown,PA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Apella Capital LLC,"64,746",0.00,9.3,"1,174",1.85,12/31/22,13F,Very Low  ,17.77,Passive   ,87.18,Glastonbury,CT,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fernwood Investment Management LLC,"64,570",0.00,9.2,309,0.48,9/30/22,13F,Very Low  ,9.57,Active    ,183.58,Quincy,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Summit Financial Strategies Inc,"64,523",0.00,9.2,"(2,621)",(3.90),12/31/22,13F,Very Low  ,15.45,Active    ,94.23,Columbus,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Hartford Financial Management Inc.,"64,511",0.00,9.2,"(1,190)",(1.81),9/30/22,13F,Very Low  ,5.46,Active    ,324.68,Hartford,CT,USA,Growth,Large Cap ,Traditional Investment Managers,,
IMS Capital Management Inc.,"64,436",0.00,9.2,715,1.12,9/30/22,13F,Low       ,23.75,Active    ,143.05,Portland,OR,USA,Blend,Large Cap ,Traditional Investment Managers,1,
Finer Wealth Management Inc.,"64,374",0.00,9.2,(377),(0.58),9/30/22,13F,,,Active    ,101.45,Salem,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Ak Portföy Yönetimi AS,"64,324",0.00,9.2,"(20,786)",(24.42),9/30/22,Aggregated Mutual Funds,Low       ,35.32,Active    ,401.85,Istanbul,,Türkiye,Growth,Large Cap ,Traditional Investment Managers,2,
Patriot Investment Management Group Inc.,"64,322",0.00,9.2,"(8,646)",(11.85),9/30/22,13F,Very Low  ,8.35,Active    ,91.79,Knoxville,TN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Optas LLC,"64,282",0.00,9.2,305,0.48,12/31/22,13F,Very Low  ,14.82,Active    ,118.80,San Francisco,CA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Settian Capital LP,"64,200",0.00,9.2,0,,9/30/22,13F,,,Active    ,102.29,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Vanguard Capital Wealth Advisors LLC,"64,178",0.00,9.2,(356),(0.55),12/31/22,13F,Low       ,43.22,Active    ,82.75,Denver,CO,USA,Growth,Large Cap ,Family Offices/Trusts,,
DeDora Capital Inc.,"64,071",0.00,9.2,(471),(0.73),12/31/22,13F,Low       ,35.67,Active    ,90.78,Napa,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Merrion Investment Management Co LLC,"64,012",0.00,9.2,(705),(1.09),12/31/22,13F,Very Low  ,13.63,Active    ,107.02,Westfield,NJ,USA,GARP,Large Cap ,Traditional Investment Managers,,
Beecher Investors Inc,"64,010",0.00,9.2,0,,9/30/22,13F,,,Active    ,67.01,Stamford,CT,USA,Blend,Large Cap ,Traditional Investment Managers,,
Arden Trust Co.,"63,973",0.00,9.1,"(1,346)",(2.06),12/31/22,13F,Low       ,36.19,Active    ,277.74,Wilmington,DE,USA,Growth,Large Cap ,Traditional Investment Managers,,
"Susan Lynne Wagner
Independent Director","63,838",0.00,9.1,0,,1/9/23,Proxy,,,,,New York,NY,USA,,,Individuals/Insiders,,"1,685"
Thomas Story & Son LLC,"63,712",0.00,9.1,"(1,920)",(2.93),12/31/22,13F,Very Low  ,7.48,Active    ,200.48,Plymouth,IN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Advisory Alpha LLC,"63,710",0.00,9.1,"(3,788)",(5.61),12/31/22,13F,Low       ,25.49,Active    ,72.86,Holland,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Resonant Capital Advisors LLC,"63,614",0.00,9.1,"1,712",2.77,12/31/22,13F,Very Low  ,13.91,Active    ,215.46,Madison,WI,USA,Growth,Large Cap ,Family Offices/Trusts,,
NWK Group Inc.,"63,603",0.00,9.1,"(1,778)",(2.72),9/30/22,13F,Moderate  ,50.73,Active    ,128.70,San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sugarloaf Wealth Management LLC,"63,581",0.00,9.1,(127),(0.20),9/30/22,13F,,,Active    ,110.78,Duluth,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
GS Investments Inc.,"63,531",0.00,9.1,(567),(0.89),9/30/22,13F,Very Low  ,6.68,Active    ,158.93,Minneapolis,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Lloyd Park LLC,"63,509",0.00,9.1,"(1,522)",(2.34),9/30/22,13F,,,Active    ,67.90,Wilmette,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
"Once Capital Management, LLC","63,450",0.00,9.1,0,,9/30/22,13F,,,Active    ,80.92,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Intact Investment Mgmt Inc.,"63,450",0.00,9.1,(500),(0.78),9/30/22,13F,Moderate  ,54.59,Active    ,"2,927.75",Toronto,ON,Canada,GARP,Large Cap ,Traditional Investment Managers,,
Blue Edge Capital LLC,"63,442",0.00,9.1,113,0.18,9/30/22,13F,Low       ,20.56,Passive   ,103.70,Richmond,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Citizens & Northern Corp.,"63,293",0.00,9.1,55,0.09,9/30/22,13F,Very Low  ,11.75,Active    ,143.27,Wellsboro,PA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Coastal Bridge Advisors LLC,"63,235",0.00,9.0,"2,777",4.59,9/30/22,13F,Low       ,27.96,Active    ,313.47,Westport,CT,USA,Growth,Multi Cap ,Traditional Investment Managers,,
Bellevue Asset Management LLC,"63,230",0.00,9.0,"(1,132)",(1.76),12/31/22,13F,Very Low  ,14.30,Active    ,85.86,Bellevue,WA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Stelac Advisory Services LLC,"63,148",0.00,9.0,(4),(0.01),9/30/22,13F,Low       ,20.76,Active    ,98.28,New York,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Wealthshield Partners LLC,"63,008",0.00,9.0,(186),(0.29),9/30/22,13F,Moderate  ,64.14,Active    ,103.07,Cary,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Compton Wealth Advisory Group LLC,"62,989",0.00,9.0,(780),(1.22),9/30/22,13F,Very Low  ,14.25,Active    ,99.24,Norfolk,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Kempen Capital Management NV,"62,977",0.00,9.0,"(1,579)",(2.45),9/30/22,13F,Low       ,38.31,Active    ,"5,322.14",Amsterdam,,Netherlands,GARP,Multi Cap ,Traditional Investment Managers,,
